id,tweet,aspek_A1,aspek_A2,sentimen_S1,sentimen_S2
14,kebijakan tambahan yang diterapkan sejumlah stasiun pengisian bahan bakar umum spbu dalam penyaluran bahan bakar minyak bbm subsidi belakangan menjadi sorotan beberapa spbu diketahui meminta konsumen menyiapkan surat tanda nomor kendaraan stnk selain qr code subsidi tepat,Keterwakilan,Transparansi,Negatif,Negatif
15,genuine question sebenernya apa sih yg pejabat kasih buat kita listrik bayar non subsidi gas bayar non subsidi kesehatan bayar bpjs jg bayar air bayar pendidikan bayar bbm bayar jalan tol bayar kebersihan lingkungan bayar pangan bayar paspor bayar,Fleksibilitas,Transparansi,Negatif,Negatif
16,bahlil sentil purbaya yang ungkap harga asli elpiji kg usai subsidi rp salah baca data menteri keuangan purbaya yudhi mengungkap harga asli elpiji kilogram sebesar rp per tabung namun karena mendapat subsidi dari pemerintah maka rakyat harusnya bisa membeli,Transparansi,Transparansi,Netral,Netral
17,menteri energi dan sumber daya mineral esdm bahlil lahadalia merespons pernyataan menteri keuangan menkeu purbaya yudhi sadewa terkait harga asli lpg kilogram kg purbaya menyebut harga asli lpg kg sebesar rp per tabung kemudian pemerintah menanggung subsidi,Kompetensi Menteri,Transparansi,Negatif,Netral
18,menkeu purbaya menyambut menteri esdm bahlil lahadalia di kantor ditjen pajak ri jumat kunjungan tersebut untuk membahas kebijakan kompensasi bbm dan listrik periode tahun serta periode triwulan i dan ii tahun evaluasi kebijakan subsidi dilakukan agar,Fleksibilitas,Fleksibilitas,Positif,Netral
19,menteri perumahan dan kawasan permukiman pkp maruarar sirait ara menegaskan pentingnya peran badan pusat statistik bps sebagai fondasi dalam perumusan dan pelaksanaan kebijakan perumahan nasional khususnya terkait program rumah subsidi,Kompetensi Menteri,Kebijakan dan Pelayanan Pemerintah,Positif,Netral
20,sobatani di bawah kepemimpinan presiden harapan amp citacita petani indonesia perlahan terwujud para petani berterimakasih kepada presiden jokowi amp mentan amran atas bantuan yang diberikan mulai dari pupuk bersubsidi alat mesin pertanian hingga pompanisasi,Kebijakan dan Pelayanan Pemerintah,Kebijakan dan Pelayanan Pemerintah,Positif,Positif
21,stok bahan bakar minyak bbm di spbu swasta mengering sejak pertengahan agustus pergeseran konsumsi masyarakat ke bbm nonsubsidi ikut jadi salah satu faktor melonjaknya kebutuhan stok bbm tambahan di spbu swasta sementara pemerintah menegaskan tidak akan menambah kuota,Fleksibilitas,Kebijakan dan Pelayanan Pemerintah,Negatif,Negatif
22,sejumlah nelayan di palabuhanratu sukabumi melancarkan protes ke spbu setelah mereka ditolak saat mencoba membeli bbm subsidi menggunakan jerigen padahal selama ini mereka biasa membeli secara seperti itu mereka menyebut kebijakan tersebut memperumit operasional melaut,Kebijakan dan Pelayanan Pemerintah,Kebijakan dan Pelayanan Pemerintah,Negatif,Negatif
23,kabar gembira untuk seluruh rakyat indonesia ketahanan pangan nasional mencatatkan hasil yang luar biasa berkat kerja keras petani dan dukungan kebijakan pemerintah indonesia kini memiliki stok beras surplus yang memecahkan rekor,Kebijakan dan Pelayanan Pemerintah,Kebijakan dan Pelayanan Pemerintah,Negatif,Positif
24,tema ketahanan pangan kata kunci cooperative farming koperasi perbaikan irigasi modernisasi pertanian contract farming operasi pengendalian harga subsidi pupuk food estate burger king modernisasi pertanian transplanter geotech satu data,Kompetensi Menteri,Kebijakan dan Pelayanan Pemerintah,Negatif,Positif
25,definisi pengen punya rumah sendiri sekarang jadi nyata nih program rumah subsidi ini sangat membantu masyarakat yang berpenghasilan rendah selain itu perumahan untuk rakyat ini adalah bukti nyata keberpihakan pemerintah pada rakyat kecil,Kompetensi Menteri,Kebijakan dan Pelayanan Pemerintah,Negatif,Positif
26,dengan diluncurkannya program juta rumah bersubsidi memiliki rumah hunian yang layak dan nyaman bukan lagi hanya sebuah mimpi program ini menjadi komitmen pemerintah untuk terus hadir dalam membantu rakyat memenuhi kebutuhan dasarnya sekaligus membuka harapan baru bagi,Kebijakan dan Pelayanan Pemerintah,Kebijakan dan Pelayanan Pemerintah,Positif,Positif
27,anakanak itu gembira lho ada mbg apa iya harus kita hentikan kegembiraan mereka mbg ada masalah di sana sini memang iya sejak kapan program pemerintah bebas masalah apalagi program sebesar dan semasif mbg justru masalah itu yg harus terus kita minta untuk perbaiki,Fleksibilitas,Kebijakan dan Pelayanan Pemerintah,Negatif,Positif
28,hey uhh do you guys know beban subsidi bbm itu diatas kertas dialihkan ke pertamina jadi kesannya pemerintah ga ada subsidi dan itu bikin pertamina merugi totally unrelated ke wacana bahlil untuk memaksa impor bbm cuman boleh satu pintu lewat pertamina,Kompetensi Menteri,Kebijakan dan Pelayanan Pemerintah,Negatif,Netral
29,breaking news harga pupuk subsidi resmi turun melalui kebijakan keputusan menteri pertanian no kptssrm tahun tanggal oktober pemerintah menurunkan harga eceran tertinggi het pupuk subsidi di seluruh indonesia,Kompetensi Menteri,Kebijakan dan Pelayanan Pemerintah,Positif,Positif
30,siapsiap di ada gebrakan dari presiden prabowo dan kabinet merah putih akan ada program pemerintah untuk bantu rakyat langsung sebesar rp triliun dari mulai bansos sampai insentif pembebasan ppn akan dinikmati semua lapisan masyarakat,Kebijakan dan Pelayanan Pemerintah,Kebijakan dan Pelayanan Pemerintah,Positif,Positif
31,yang jelasjelas bikin kacau itu kebijakan pemerintahan ngaco yg bikin jurang ketimpangan semakin jauh tabungan masyarakat menurun angka phk naik nyari kerja susah pekerja formal geser ke informal biaya hidup tinggi alokasi anggaran ugal ugalan malah nyalahin hantu,Kebijakan dan Pelayanan Pemerintah,Kebijakan dan Pelayanan Pemerintah,Negatif,Negatif
32,ngarang sy tuh tak prnh ragu utk bersikap sesuai dgn nurani dan ilmu sy tahu dlm bentuk apapun kebijakan pemerintah pasti ada yg mengritik sy tak risau dgn itu dulu perppu covid uu papua dll jg bgt sy senang jika ada yg menyorot artinya demokrasi hidup teruskan saja,Kebijakan dan Pelayanan Pemerintah,Kebijakan dan Pelayanan Pemerintah,Positif,Netral
33,juta ton susu program makan bergizi gratis akan diimpor dari vietnam pemerintah indonesia kerja keras untuk kemakmuran rakyat vietnam kpn rakyat indonesia sejahtera klo gini caranya program pemerintah tp g memiliki efek ekonomi di dalam negeri,Kebijakan dan Pelayanan Pemerintah,Kebijakan dan Pelayanan Pemerintah,Negatif,Negatif
34,juta penerima str dpt subsidi ron rm mulai hari ini pm menegaskan kebijakan ekonomi mesti seimbang dgn kebajikan rakyat malaysia pilih kebijakan ekonomi dan kebajikan rakyat isi minyak pun mudah utk tebus subsidi budi lanjut penggal kedua,Kebijakan dan Pelayanan Pemerintah,Kebijakan dan Pelayanan Pemerintah,Negatif,Positif
35,demo di pati prabowo marah ke intelijen dan polisi presiden prabowo subianto marah terhadap badan intelijen negara dan kepolisian karena gagal membendung unjuk rasa di pati presiden punya andil dalam kebijakan pemerintah daerah menaikkan pajak bumi dan bangunan simak,Keterwakilan,Kebijakan dan Pelayanan Pemerintah,Negatif,Netral
36,gubernur dki jakarta pramono anung memilih irit bicara ketika ditanya mengenai dugaan keracunan yang dialami sejumlah siswa sdn gedong pasar rebo jakarta timur usai menyantap menu makanan bergizi gratis mbg pramono menegaskan program mbg merupakan kebijakan pemerintah,Kebijakan dan Pelayanan Pemerintah,Kebijakan dan Pelayanan Pemerintah,Positif,Netral
37,gubernur jawa barat dedi mulyadi tidak mau ambil pusing terkait kebijakan pemerintah pusat yang memangkas dana transfer ke daerah tkd pada tahun anggaran pemprov jawa barat diketahui akan kehilangan dana transfer senilai rp triliun akibat kebijakan tersebut,Kebijakan dan Pelayanan Pemerintah,Kebijakan dan Pelayanan Pemerintah,Negatif,Netral
38,bukan bantuan pemerintah nasi bungkus gratis dari warga solidaritas pangan resep bertahan sepanjang pandemi sebelum program makan bergizi gratis mbg diluncurkan pemerintah warga sudah bergerak memasak berbagi dan saling,Keterwakilan,Kebijakan dan Pelayanan Pemerintah,Positif,Netral
39,saya tegaskan bahwa pengurangan tidak boleh mengganggu pelayanan publik atau hak pegawai daerah efisiensi harus bermakna anggaran tepat sasaran manfaatnya nyata bagi rakyat itu semangat kita di mendukung arah kebijakan presiden subianto,Kebijakan dan Pelayanan Pemerintah,Kebijakan dan Pelayanan Pemerintah,Negatif,Netral
40,kenaikan harga pangan pokok selalu mencekik kehidupan rakyat kecil rantai masalah dari produksi distribusi hingga kebijakan pemerintah membuat masalah ini semakin semrawut saksikan laporan investigatifnya siang ini siang ini senin amp selasa jam wib,Kebijakan dan Pelayanan Pemerintah,Kebijakan dan Pelayanan Pemerintah,Negatif,Negatif
41,jadi gini pendidikan amp kesehatan kunci suksesnya negara dua aspek tsb masih banyak masalah kkn dari atasbawah program pemerintah bnyk yg gajelas ganti menteri ganti kurikulum padahal kurikulum harusnya update secara bertahap bukan cuma pas ganti menteri aja,Kebijakan dan Pelayanan Pemerintah,Kebijakan dan Pelayanan Pemerintah,Negatif,Positif
42,mungkin pendukung pak prabowo bisa jelaskan mengapa beliau masih minta dukungan pa yg jelas sering menyerang kebijakan pemerintahan pak jokowi atau sengaja mau main dua kaki kalau iya pun gpp itu kan hak siapa saja rakyat cukup mengamati amp menilai,Fleksibilitas,Kebijakan dan Pelayanan Pemerintah,Negatif,Positif
43,program mbg saat ini jadi salah satu program pemerintah yang paling nyata terasa manfaatnya bukan cuma slogan anakanak sekolah dapat gizi seimbang orang tua merasa tenang dan para tenaga masak lokal ikut mendapat penghasilan dampaknya langsung meluas dan menyentuh jutaan,Kebijakan dan Pelayanan Pemerintah,Keterwakilan,Positif,Positif
44,pemerintah gak pernah peka dengan rakyat miskin pembelian gas bersubsidi dipersulit dgn berbagai macam persyaratan akhirnya si miskin beli diwarung dgn harga k yg seharusnya cuma k untuk yg kg pangkalan yg tambah kaya pemerintah melanggar pasal uud,Kompetensi Menteri,Keterwakilan,Negatif,Positif
45,ada kabar baik buat para petani indonesia untuk pertama kalinya dalam sejarah pemerintah resmi menurunkan harga eceran tertinggi het pupuk bersubsidi hingga yang mulai berlaku pada oktober gtgt,Kebijakan dan Pelayanan Pemerintah,Kebijakan dan Pelayanan Pemerintah,Positif,Positif
46,divisi humas polri bekerja sama dengan perum bulog menggelar kegiatan gerakan pangan murah di jakarta senin kegiatan ini merupakan salah satu langkah nyata polri mendukung kebijakan pemerintah dalam menjaga stabilitas harga pangan sekaligus membantu meringankan,Kebijakan dan Pelayanan Pemerintah,Fleksibilitas,Positif,Positif
47,jakarta agustus menyampaikan pidato kenegaraan di hadapan mpr dan mengglorifikasi programprogram pemerintah khususnya efisiensi anggaran makan bergizi gratis serta kebijakan di bidang pangan dan pertahanan,Kebijakan dan Pelayanan Pemerintah,Kebijakan dan Pelayanan Pemerintah,Positif,Positif
48,konten ini stelah dicek adalah hasil ai jadi hati buat teman yg sudah menyebarkan dg narasi tdk benar silakan kritik program atau kebijakan pemerintah spedas apapun asalkan sesuai data dan fakta jangan sebarkan hoax seperti yang sering dilakukan oleh stafsus yg,Fleksibilitas,Transparansi,Positif,Netral
49,pak mentri mumpung punya kuasa hapus aja kata subsidi untuk hal yg berhubungan dgn kewajiban pemerintah terhadap rakyat itu duit rakyat balikin ke rakyat emang sbagai kewajiban pemerintah sbagai kang ngatur anggaran bukan dewa penolong pemberi sumbangan,Kompetensi Menteri,Keterwakilan,Negatif,Negatif
50,gubernur jawa barat dedi mulyadi mengungkapkan alasan tidak ikut memprotes kebijakan pemerintah pusat yang memangkas dana transfer daerah atau transfer ke daerah tkd ia menilai sebagai wakil pemerintah pusat di daerah tidak pantas baginya untuk menentang keputusan yang,Keterwakilan,Fleksibilitas,Positif,Netral
51,jk wajarkan massa gelar demo tolak tunjangan anggota dpr masyarakat punya hak berbicara wakil presiden ke dan ke ri jusuf kalla merespons aksi demonstrasi memprotes kebijakankebijakan pemerintah yang dianggap merugikan rakyat aksi demo itu berlangsung di depan gedung,Keterwakilan,Keterwakilan,Negatif,Positif
52,program ktp sakti ini simpel komplit njerit kgak muluk dan kgak makan anggaran fantastis tp besar manfaatnya krena bakal menyatukan berbagai program bantuan sosial yang sudah ada seperti subsidi pendidikan program indonesia pintar kartu indonesia pintar,Keterwakilan,Kebijakan dan Pelayanan Pemerintah,Positif,Positif
53,kdm mengungkapkan alasan tidak ikut memprotes kebijakan pemerintah pusat yang memangkas dana transfer daerah atau transfer ke daerah tkd ia menilai sebagai wakil pemerintah pusat di daerah tidak pantas baginya untuk menentang keputusan yang telah diambil pemerintah pusat,Keterwakilan,Kebijakan dan Pelayanan Pemerintah,Positif,Netral
54,respons singkat menkeu purbaya soal ahok usul subsidi diganti voucer digital saya enggak tahu basuki tjahaja purnama alias ahok memberikan usulan soal subsidi pemerintah diubah menjadi voucer atau cashback menanggapi usulan tersebut menteri keuangan purbaya yudhi buka suara,Keterwakilan,Kompetensi Menteri,Positif,Netral
55,kegiatan umkm jualan surga sekte berkurikulum merdeka toa disubsidi besarbesaran dengan argumen ngarang dan ngibul pakai uang rakyat dari seluruh ajaran dan kepercayaan tidak ada akuntabilitas transparansi atau ukuran performa kerja yang masuk akal semuanya di luar akal,Fleksibilitas,Transparansi,Negatif,Negatif
56,mkd ini gabut atau kagak ngerti tupoksi mereka atau anggota dpr ri ini si alfadjri aditya prayoga juga siapa lapor ajakanprovokasi di media sosial menolak kebijakan pemerintah eh tol namanya juga oposisi kok ya melanggar etik yang melapor oon yang menseriusi lebih oon,Fleksibilitas,Kebijakan dan Pelayanan Pemerintah,Negatif,Negatif
57,pesan gue untuk temanteman chindo salah satu admin worksfess yaitu gue sendiri juga chindo tanpa toko gue mau ajak kita semua buat berani bersuara jangan cuma diam karena diam sama aja artinya kita rela dijadikan kambing hitam atas kebijakan pemerintah kita juga korban,Fleksibilitas,Keterwakilan,Negatif,Positif
58,ahok btp usulkan mekanisme subsidi pemerintah kpd rakyat diubah dari bentuk barang menjadi voucher digital atau cashback menurutnya skema tsb lebih efisien dan dapat meminimalkan potensi kebocoran anggaran serta meningkatkan transparansi dan lebih tepat sasaran,Keterwakilan,Fleksibilitas,Negatif,Positif
59,yang mau work jadi piinis sharing yuk gengs gimana ya cara milih jawaban soal pelayanan publik yang kek gini bener bener rancu dan sender bingung sikap mana yang harus dipilih apa kalo pelayanan publik tuh yang paling utama transparansi atau gimana ya tia,Fleksibilitas,Transparansi,Positif,Netral
60,gubernur sumatera utara bobby nasution menyoroti dampak kebijakan pemerintah pusat yang memangkas dana transfer ke daerah tahun untuk sumatera utara pemangkasan tersebut mencapai rp triliun ada daerah mungkin untuk di provinsinya berimbas tapi untuk kabupaten yang,Keterwakilan,Kebijakan dan Pelayanan Pemerintah,Negatif,Negatif
61,pelanggan shell tati suryati menggugat menteri esdm bahlil lahadalia pertamina dan shell indonesia ke pn jakarta pusat karena kelangkaan bbm ron yang dinilai sebagai dampak kebijakan pemerintah yang melanggar aturan simak selengkapnya,Kompetensi Menteri,Kompetensi Menteri,Negatif,Negatif
62,yuk kenalan dengan zona integritas zi zi adalah komitmen instansi pemerintah untuk mewujudkan wbk wilayah bebas dari korupsi dan wbbm wilayah birokrasi bersih dan melayani langkah nyata menuju pelayanan publik yang bersih amp berintegritas,Fleksibilitas,Kompetensi Menteri,Positif,Negatif
63,sebagai bentuk dukungan terhadap kebijakan pemerintah dalam memperkuat ekosistem kredit usaha rakyat kur di wilayah timur indonesia pt asuransi kredit indonesia askrindo bersama bank papua resmi menandatangani perjanjian kerja sama pks asuransi kredit usaha rakyat,Fleksibilitas,Keterwakilan,Positif,Positif
64,saudara yang saya hormati saya sepakat perihal kebijakan pemerintah yg ngaco pembukaan lahan sawit dan tambang yg ugalan saya sangat mengkritisi itu melalui media dan akun yg lain tapi untuk perihal yg satu ini saya rasa tidaklah tepat pemikiran anda ini,Kebijakan dan Pelayanan Pemerintah,Kebijakan dan Pelayanan Pemerintah,Negatif,Negatif
65,langkah presiden prabowo subianto mereshuffle lima posisi menteri di kabinet merah putih adalah bentuk keseriusan presiden prabowo dalam memberikan pelayanan publik,Kebijakan dan Pelayanan Pemerintah,Kebijakan dan Pelayanan Pemerintah,Positif,Positif
66,langkah presiden praboeo subianyo mereshuffle lima posisi menteri di kabinet merah putih adalah bentuk keseriusan presiden prabowo dalam memberikan pelayanan publik,Kebijakan dan Pelayanan Pemerintah,Fleksibilitas,Positif,Positif
67,you are either orang yang diuntungkan karena kebijakan pemerintah saat ini atau bagian dari oligarki itu you actually never realized that every aspect in your life is politic related dan politik ini bisa membuat elu berbalik derajat dr sikon elu skrg,Kebijakan dan Pelayanan Pemerintah,Keterwakilan,Positif,Netral
68,fellow chindo here kondisi saat ini memang bikin keluarga dan sekitar khawatir takut kejadian dulu terulang lagi tolong banget mari saling merangkul kita semua di sini juga korban dari kebijakan pemerintah jangan buang energi untuk melawan ke samping tetap fokus melawan,Kebijakan dan Pelayanan Pemerintah,Keterwakilan,Negatif,Netral
69,polri bekerja sama dengan perum bulog menyalurkan ton beras sphp ke lokasi di seluruh indonesia untuk mendukung program pemerintah menjaga stabilitas pangan nasional penyaluran beras dilakukan melalui gerakan pangan murah gpm yang diselenggarakan di seluruh,Keterwakilan,Fleksibilitas,Positif,Positif
70,curhatan salah satu guru di jakarta masa mau begini terus jadi guru aja udah berat di masa sekarang ini lagi ditambah pekerjaan tanpa insentif kalau tray hilang pun harus ganti pula hobi banget nyusahin rakyat nih kebijakan pemerintah,Keterwakilan,Keterwakilan,Negatif,Negatif
71,mensesneg prasetyo hadi menanggapi gelombang protes dari sejumlah kepala daerah terkait kebijakan pemerintah pusat yang melakukan pemangkasan anggaran transfer ke daerah tkd prasetio menekankan bahwa skema tkd baik yang bersifat langsung maupun tidak langsung tetap bertujuan,Keterwakilan,Kompetensi Menteri,Negatif,Negatif
72,banyak isu datang silih berganti dari soal hukum oknum lingkungan kejahatan atau bahkan kebijakan pemerintah tetapi ada satu isu yang konsisten tidak pernah surut namanya isu ijazah palsu di kanal youtube isu ini terbanyak mengundang percakapan warganet apakah isu ini,Kebijakan dan Pelayanan Pemerintah,Transparansi,Negatif,Negatif
73,pemeriksaan iva test dan hpv dna gratis di bandung untuk deteksi dini kanker serviks program pemerintah hemat ratusan ribu kalau bayar sendiri besok tanggal september di puskesmas cibeunying yuk akses baik yg belum menikah atau sudah menikah abaikan poster yg,Kebijakan dan Pelayanan Pemerintah,Kebijakan dan Pelayanan Pemerintah,Positif,Positif
74,kalau pemerintah mensubsidi iuran ojol akan muncul pertanyaan publik soal pekerjaan apa saja yang berhak dapat subsidi iuran jamsos dan apa justifikasinya lebih ideal jika negara berperan sebagai regulator yg memastikan bahwa hub mitraplatform tidak timpang dan eksploitatif,Fleksibilitas,Keterwakilan,Positif,Negatif
75,gubernur jawa barat dedi mulyadi menegaskan bahwa tidak ada kebijakan pemerintah provinsi yang mewajibkan warga menyumbang uang rp per hari melalui program rereongan sarebu yang ada adalah gubernur meminta warga memperkuat solidaritas sosial dengan mengoptimalkan,Keterwakilan,Kebijakan dan Pelayanan Pemerintah,Positif,Netral
76,pada apel kebangsaan buruh yang digelar pada rabu kapolri jenderal polisi drs listyo sigit prabowo m si menyampaikan apresiasinya terhadap dukungan penuh kalangan buruh terhadap kebijakan pemerintah menurut kapolri sinergi antara seluruh lapisan merupakan modal,Keterwakilan,Kebijakan dan Pelayanan Pemerintah,Positif,Positif
77,siap jadi generasi yang berani jaga integritas bpjs kesehatan hadir dengan semangat sigap berintegritas tolak gratifikasi dan penyuapan dukung transparansi dan profesionalitas laporkan pelanggaran tanpa takut karena integritas bukan cuma nilai tapi budaya kerja kita,Keterwakilan,Kebijakan dan Pelayanan Pemerintah,Positif,Netral
78,pengumuman kabinet merah putih tadi malam perlu diberikan catatan kritis sisi baiknya tetap ada orangorang profesional berkapasitas dan berintegritas beberapa dari perguruan tinggi prabowo telah mengingat jasa koalisi dan orang yang telah membantu pemenangannya,Fleksibilitas,Keterwakilan,Positif,Negatif
79,evaluasi kinerja harus transparan dan berbasis hasil bukan hubungan pribadi prabowo menekankan integritas sebagai syarat utama yang berarti siapa pun yang gagal memenuhi standar termasuk konco bisa diganti demi kepentingan rakyat meritokrasi sejati akan teruji dari kemajuan,Transparansi,Keterwakilan,Positif,Negatif
80,dalam menjaga komitmen terhadap kualitas dan integritas aset digital di bittime kami rutin mengevaluasi berkala tiap aset sesuai standar tinggi dan transparansi industri maka bittime akan melakukan delisting silly dragon silly arbdoge ai aidoge tutup,Fleksibilitas,Fleksibilitas,Positif,Positif
81,saya menyambut dengan baik langkah kepolisian untuk menghapus tilang manual dan sepenuhnya beralih ke sistem tilang elektronik kebijakan ini merupakan upaya konkret untuk meningkatkan transparansi profesionalitas dan akuntabilitas dalam penegakan hukum di bidang lalu lintas,Keterwakilan,Kebijakan dan Pelayanan Pemerintah,Positif,Positif
82,padahal dulu smi itu masuk di geng masyarakat transparansi indonesia mti yg dikader langsung sama eks menkeu yg berintegritas pak marie muhammad aka mr clean makin hari makin berjarak smi dari mti mungkin malu dan tahu kalo udah main kotor,Fleksibilitas,Kompetensi Menteri,Netral,Negatif
83,presiden prabowo instruksikan agar setiap dapur mbg menyiapkan dua jenis lauk setiap hari supaya anak indonesia mendapatkan asupan gizi yg cukup dan seimbang semua unsur pelaksana diminta menjaga integritas transparansi dan memastikan setiap rupiah benar utk anak bangsa,Kebijakan dan Pelayanan Pemerintah,Fleksibilitas,Positif,Positif
84,gua muak sm petanyaan emg kalo et diganti siapa pengganti yg lebih baik siapapun itu ketika bisa fokus ke grassroot fokus ke integritas fokus ke perombakan exco fokus ke transparansi dll udah lebih baik dr et cukup bekerja lurus sesuai aturan udah jauh lebih baik,Transparansi,Transparansi,Positif,Negatif
85,hari ini saya resmi melantik sejumlah pimpinan dan dewan pengawas komisi pemberantasan korupsi kpk periode saya berpesan agar seluruh pejabat yang dilantik dapat mengemban amanah dengan menegakkan prinsip integritas transparansi profesionalisme dan pentingnya,Kebijakan dan Pelayanan Pemerintah,Kebijakan dan Pelayanan Pemerintah,Positif,Positif
86,yang pasti jika yang menjadi acuan mengangkat bukan berdasarkan kapabilitas kapasitas dan integritas nantinya conflict of interest akan mengganggu jalannya perusahaan transparansi kontrol tak akan berjalan optimal,Fleksibilitas,Kebijakan dan Pelayanan Pemerintah,Positif,Negatif
87,ada keraguan publik kemampuan rekam jejak dari wakil menteri kebudayaan pengambilan sumpah prabowo sebagai presiden dan gibran sebagai wakil presiden untuk lima tahun mendatang telah dilakukan pun kabinet merah putih sudah resmi dibentuk dengan diperkuat menteri dan kepala,Transparansi,Kebijakan dan Pelayanan Pemerintah,Positif,Negatif
88,hr yang bener ngerti kalau transparansi sejak awal itu bukan kelemahan tapi bentuk profesionalitas pertanyaan kandidat di tahap awal bukan berarti ga sadar diri tapi mereka pengen jelas biar ga salah langkah,Transparansi,Transparansi,Positif,Netral
89,nah bp sadar itu lalu knapa justru pilih wapres gibran apa krn mrp putera dr presiden yg saat itu msh memimpin jk skrg bp sdh tahu bgmn kualitas daya pikiramppendidikan gibran andai loh bp bisa brlanjut tentu wapresnya hrs benar yg miliki kemampuan ilmu yg mumpuni ya,Transparansi,Kebijakan dan Pelayanan Pemerintah,Negatif,Negatif
90,pengabaian prabowo terhadap rekam jejak kapabilitas dan kompetensi pada akhirnya harus dibayar mahal kabinet merah putih tak akan pernah optimal bekerja dan citacita prabowo membawa negara ini makin maju kandas,Transparansi,Kebijakan dan Pelayanan Pemerintah,Negatif,Negatif
